year,sex,money_measure,education,avg_income,color,idtf,error
2011,Male,Current Dollars,High school completion,40450,darkred,Male High school completion (includes equivalency),(87)
2012,Male,Current Dollars,High school completion,40350,darkred,Male High school completion (includes equivalency),(194)
2013,Male,Current Dollars,High school completion,40290,darkred,Male High school completion (includes equivalency),(227)
2014,Male,Current Dollars,High school completion,40930,darkred,Male High school completion (includes equivalency),(197)
2015,Male,Current Dollars,High school completion,41570,darkred,Male High school completion (includes equivalency),(184)
2016,Male,Current Dollars,High school completion,41890,darkred,Male High school completion (includes equivalency),(180)
2017,Male,Current Dollars,High school completion,42440,darkred,Male High school completion (includes equivalency),(524)
2018,Male,Current Dollars,High school completion,45580,darkred,Male High school completion (includes equivalency),(300)
2019,Male,Current Dollars,High school completion,46850,darkred,Male High school completion (includes equivalency),(378)
1990,Female,Current Dollars,High school completion,18320,steelblue,Female High school completion (includes equivalency),(---)
1995,Female,Current Dollars,High school completion,20460,steelblue,Female High school completion (includes equivalency),(162)
2000,Female,Current Dollars,High school completion,24970,steelblue,Female High school completion (includes equivalency),(236)
2001,Female,Current Dollars,High school completion,25300,steelblue,Female High school completion (includes equivalency),(132)
2002,Female,Current Dollars,High school completion,25180,steelblue,Female High school completion (includes equivalency),(121)
2003,Female,Current Dollars,High school completion,26070,steelblue,Female High school completion (includes equivalency),(118)
2004,Female,Current Dollars,High school completion,26030,steelblue,Female High school completion (includes equivalency),(116)
2005,Female,Current Dollars,High school completion,26290,steelblue,Female High school completion (includes equivalency),(134)
2006,Female,Current Dollars,High school completion,26740,steelblue,Female High school completion (includes equivalency),(136)
2007,Female,Current Dollars,High school completion,27240,steelblue,Female High school completion (includes equivalency),(133)
2008,Female,Current Dollars,High school completion,28380,steelblue,Female High school completion (includes equivalency),(283)
2009,Female,Current Dollars,High school completion,29150,steelblue,Female High school completion (includes equivalency),(273)
2010,Female,Current Dollars,High school completion,29860,steelblue,Female High school completion (includes equivalency),(260)
2011,Female,Current Dollars,High school completion,30010,steelblue,Female High school completion (includes equivalency),(145)
2012,Female,Current Dollars,High school completion,30410,steelblue,Female High school completion (includes equivalency),(165)
2013,Female,Current Dollars,High school completion,30800,steelblue,Female High school completion (includes equivalency),(173)
2014,Female,Current Dollars,High school completion,30650,steelblue,Female High school completion (includes equivalency),(151)
2015,Female,Current Dollars,High school completion,31250,steelblue,Female High school completion (includes equivalency),(138)
2016,Female,Current Dollars,High school completion,31540,steelblue,Female High school completion (includes equivalency),(152)
2017,Female,Current Dollars,High school completion,32240,steelblue,Female High school completion (includes equivalency),(199)
2018,Female,Current Dollars,High school completion,32620,steelblue,Female High school completion (includes equivalency),(471)
2019,Female,Current Dollars,High school completion,35100,steelblue,Female High school completion (includes equivalency),(307)
1990,Male,Constant 2019 Dollars,High school completion,52150,darkred,Male High school completion (includes equivalency),(---)
1995,Male,Constant 2019 Dollars,High school completion,49510,darkred,Male High school completion (includes equivalency),(601)
2000,Male,Constant 2019 Dollars,High school completion,50930,darkred,Male High school completion (includes equivalency),(678)
2001,Male,Constant 2019 Dollars,High school completion,50130,darkred,Male High school completion (includes equivalency),(432)
2002,Male,Constant 2019 Dollars,High school completion,47200,darkred,Male High school completion (includes equivalency),(442)
2003,Male,Constant 2019 Dollars,High school completion,49210,darkred,Male High school completion (includes equivalency),(233)
2004,Male,Constant 2019 Dollars,High school completion,48350,darkred,Male High school completion (includes equivalency),(200)
2005,Male,Constant 2019 Dollars,High school completion,47520,darkred,Male High school completion (includes equivalency),(185)
2006,Male,Constant 2019 Dollars,High school completion,46960,darkred,Male High school completion (includes equivalency),(208)
2007,Male,Constant 2019 Dollars,High school completion,46680,darkred,Male High school completion (includes equivalency),(501)
2008,Male,Constant 2019 Dollars,High school completion,46320,darkred,Male High school completion (includes equivalency),(474)
2009,Male,Constant 2019 Dollars,High school completion,47040,darkred,Male High school completion (includes equivalency),(452)
2010,Male,Constant 2019 Dollars,High school completion,46960,darkred,Male High school completion (includes equivalency),(278)
2011,Male,Constant 2019 Dollars,High school completion,45970,darkred,Male High school completion (includes equivalency),(99)
2012,Male,Constant 2019 Dollars,High school completion,44930,darkred,Male High school completion (includes equivalency),(216)
2013,Male,Constant 2019 Dollars,High school completion,44210,darkred,Male High school completion (includes equivalency),(249)
2014,Male,Constant 2019 Dollars,High school completion,44200,darkred,Male High school completion (includes equivalency),(213)
2015,Male,Constant 2019 Dollars,High school completion,44840,darkred,Male High school completion (includes equivalency),(198)
2016,Male,Constant 2019 Dollars,High school completion,44620,darkred,Male High school completion (includes equivalency),(192)
2017,Male,Constant 2019 Dollars,High school completion,44260,darkred,Male High school completion (includes equivalency),(547)
2018,Male,Constant 2019 Dollars,High school completion,46400,darkred,Male High school completion (includes equivalency),(305)
2019,Male,Constant 2019 Dollars,High school completion,46850,darkred,Male High school completion (includes equivalency),(378)
1990,Female,Constant 2019 Dollars,High school completion,35840,steelblue,Female High school completion (includes equivalency),(---)
1995,Female,Constant 2019 Dollars,High school completion,34330,steelblue,Female High school completion (includes equivalency),(272)
2000,Female,Constant 2019 Dollars,High school completion,37070,steelblue,Female High school completion (includes equivalency),(350)
2001,Female,Constant 2019 Dollars,High school completion,36530,steelblue,Female High school completion (includes equivalency),(191)
